pID,techniqueID,datasetID,nbUnion,nbInter,nbMinus,nbConstraint,nbUnconstraint,nbTotalUnion,nbTotalInter,nbTotalMinus,nbTotalConstraint,nbTotalUnconstraint,nbReset,nbCancel,nbDisconnection,tct,mcc,f1
16,0,2,7,0,8,15,0,7,0,8,15,0,0,0,0,420595494,0.9931143459506921,0.996559247023624
16,1,0,2,0,9,11,0,2,0,9,11,0,0,0,0,323600436,0.9628367702777787,0.9862890617980558
16,1,0,4,0,18,22,0,4,0,18,22,0,0,0,0,588964134,0.9686537222958913,0.9883921888820848
16,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,126627141,0.6982884555940708,0.7610350931415246
16,1,1,2,0,3,5,0,2,0,3,5,0,0,0,0,157618487,0.8349529614646555,0.8727427375032714
16,1,2,8,0,2,10,0,8,0,2,10,0,0,0,0,315753911,0.9913181425271729,0.995663119064829
16,1,2,6,0,1,7,0,6,0,1,7,0,0,0,0,143747483,0.9942629304734918,0.9971176500075192
17,0,0,2,3,1,6,0,2,3,1,6,0,0,0,0,402188341,0.9431825744893058,0.9785589331672514
17,0,0,2,3,1,6,0,2,3,1,6,0,0,0,0,367483409,0.961317534485773,0.9856103652683441
17,0,2,3,0,2,4,1,3,0,2,4,1,0,0,0,287401692,0.9967420228050603,0.9983662892231423
17,0,2,3,0,1,3,1,5,0,2,5,2,1,0,0,295315385,0.9897808053907553,0.994896240188677
17,1,0,1,0,6,6,1,1,0,6,6,1,0,0,0,380744377,0.8726842156971906,0.9491302982437227
17,1,0,2,2,2,6,0,2,2,2,6,0,1,0,0,321394938,0.9527181731844105,0.9822725155492232
17,1,1,2,0,0,2,0,2,0,0,2,0,0,0,0,133480461,0.7170690618788064,0.7711673001707706
17,1,1,1,0,0,1,0,1,0,1,2,0,0,1,0,235386890,0.7203557476166114,0.7740453790813503
17,1,2,3,5,0,7,1,3,5,0,7,1,3,0,0,711778187,0.9687747625269276,0.9838882785162228
17,1,2,5,0,0,5,0,5,0,0,5,0,0,0,0,213646407,0.9923069771829626,0.9961427676894177
17,0,1,2,0,4,6,0,2,0,4,6,0,0,0,0,321473857,0.8432823353067771,0.8799678305743582
17,0,1,2,0,2,4,0,4,0,2,4,2,3,2,0,310092117,0.8370689152490325,0.8751668001067521
1,1,0,2,3,0,5,0,6,5,2,12,1,2,0,0,759886440,0.9314918319111617,0.9748147228821673
1,1,0,4,2,7,12,1,4,2,7,12,1,0,0,0,636532020,0.961551814573965,0.985795199942643
1,1,1,1,2,2,5,0,1,2,3,5,1,0,1,0,362910252,0.8305458005916942,0.8650619534653772
1,1,1,5,4,3,11,1,6,5,3,12,2,0,2,0,636959013,0.852012226861877,0.8826776869932805
1,1,2,10,0,9,16,3,11,0,11,17,5,0,2,0,835802849,0.9981758113301064,0.9990880813481405
1,1,2,3,0,8,9,2,4,0,8,10,2,2,1,0,655394230,0.9982875849324395,0.9991439265651458
1,0,0,2,3,6,11,0,2,3,6,11,0,0,0,0,486375836,0.9729694922270301,0.9900049097108676
1,0,0,3,3,3,9,0,3,3,3,9,0,0,0,0,356378800,0.9791520180358345,0.9922803091485781
1,0,1,1,0,3,4,0,1,0,3,4,0,0,0,0,267584814,0.8821848787955865,0.9071229502884179
1,0,1,1,1,3,5,0,1,1,3,5,0,0,0,0,274981152,0.8869921796614215,0.9110995242129962
1,0,2,9,0,0,9,0,11,0,0,11,0,0,1,0,390144611,0.998912513188767,0.9994562941760982
1,0,2,8,0,3,11,0,8,0,3,11,0,0,0,0,286498460,0.9987375749833474,0.9993688722809957
2,0,0,1,2,2,5,0,1,2,2,5,0,0,0,0,215546378,0.9670933857570059,0.9877768838099393
2,0,1,1,1,1,3,0,3,1,1,5,0,1,1,0,197898301,0.886725894420277,0.9122328028234667
2,0,1,1,1,1,3,0,1,1,1,3,0,0,0,0,128772572,0.8830643643639369,0.910041135612651
2,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,92075584,0.9978625063145987,0.9989311898794307
2,0,2,2,0,0,2,0,2,0,0,2,0,0,0,0,111633444,0.9921049879422484,0.9960554603520797
2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,138006523,0.6491172168217235,0.8119915348866886
2,1,0,1,2,2,5,0,1,2,2,5,0,0,0,0,182619735,0.9786208046701035,0.9920929496598024
2,1,0,1,2,1,4,0,3,2,1,6,0,0,1,0,204201983,0.8509203573781683,0.9367706374610647
2,1,1,1,1,1,3,0,1,1,1,3,0,0,0,0,212944554,0.8933924567775389,0.9175949536974902
2,1,1,1,1,1,3,0,1,1,1,3,0,0,0,0,133590611,0.8544981773757502,0.8869010831734053
2,1,2,1,0,0,1,0,1,0,0,1,0,0,0,0,64664143,0.9913311310744438,0.9956671688434579
2,1,2,1,0,1,2,0,1,0,1,2,0,0,0,0,136677866,0.9940771957537328,0.9970392994047433
3,0,0,2,0,8,9,1,2,0,8,9,1,0,0,0,380936344,0.9745972078704728,0.9905621777911132
3,0,0,1,0,5,6,0,1,0,5,6,0,0,0,0,223609206,0.9632777919197605,0.9861772223670192
