pID,techniqueID,datasetID,nbUnion,nbInter,nbMinus,nbConstraint,nbUnconstraint,nbTotalUnion,nbTotalInter,nbTotalMinus,nbTotalConstraint,nbTotalUnconstraint,nbReset,nbCancel,nbDisconnection,tct,mcc,f1
12,2,0,1,1,3,5,0,1,1,3,5,0,0,0,0,138328932,0.9721878406990525,0.9896659740944657
12,2,1,3,0,1,4,0,3,0,1,4,0,0,0,0,176631084,0.885175190922036,0.9107207833019086
12,2,1,1,0,2,3,0,1,0,2,3,0,0,0,0,151979737,0.8885129692957611,0.9143011991057516
12,2,2,3,0,2,5,0,7,0,6,13,0,2,0,0,306997546,0.9919386346079574,0.9959656990599142
12,2,2,1,0,2,3,0,1,0,2,3,0,0,0,0,78547363,0.9925316536419388,0.996267843012642
13,0,0,4,1,9,14,0,4,1,9,14,0,0,0,0,374991828,0.916147776937201,0.9668068929854229
13,0,0,1,1,8,10,0,1,1,8,10,0,0,0,0,222066384,0.9645157954746297,0.986637643249769
13,0,1,3,1,2,6,0,3,1,2,6,0,0,0,0,136553157,0.8940052011392614,0.9188612344659025
13,0,1,3,1,3,7,0,3,1,3,7,0,0,0,0,166358853,0.9089693015164113,0.9298013245033112
13,0,2,7,0,0,7,0,8,0,0,8,0,0,1,0,223608417,0.9938384367864986,0.9969044515740927
13,0,2,4,0,0,4,0,4,0,0,4,0,0,0,0,90694926,0.9978128093999731,0.9989066804945552
13,1,0,1,1,0,2,0,1,1,0,2,0,0,0,0,111297832,0.9043482775163496,0.9651831775618022
13,1,0,1,1,0,2,0,1,1,0,2,0,0,0,0,117796196,0.9109871754831598,0.9675471966122309
13,1,1,4,2,4,10,0,6,2,7,15,0,4,0,0,556269901,0.8149283685134497,0.8588604816103211
13,1,1,3,1,2,6,0,3,1,2,6,0,0,0,0,173699462,0.8211485702819017,0.861613754910168
13,1,2,3,0,0,3,0,3,0,0,3,0,0,0,0,130952137,0.9974136408704272,0.9987052708610886
13,1,2,3,0,0,3,0,7,0,0,7,0,3,1,0,198850220,0.9749884566215239,0.9875104285758428
13,2,0,1,1,4,6,0,1,1,4,6,0,0,0,0,198125527,0.9231221968144538,0.9702626979943964
13,2,0,1,1,6,8,0,1,1,6,8,0,0,0,0,217684721,0.939284868726889,0.9765138953679028
13,2,1,6,2,3,11,0,6,2,3,11,0,0,0,0,255685147,0.8719393461165549,0.9009343317208933
13,2,1,3,1,2,6,0,3,1,2,6,0,0,0,0,143210259,0.8198746601663868,0.859860655998473
13,2,2,4,0,0,4,0,4,0,0,4,0,0,0,0,95765879,0.9967529307694104,0.9983769679263891
13,2,2,3,0,0,3,0,3,0,0,3,0,0,0,0,74552024,0.9967253600671013,0.9983618037666008
14,0,0,2,0,0,0,2,3,0,0,0,3,0,1,0,143667603,0.6836182685631772,0.8313684532569535
14,0,0,3,0,1,0,4,3,0,1,0,4,0,0,0,154686352,0.7306498134394689,0.8674561336491201
14,0,1,3,0,1,0,4,5,0,1,0,6,0,2,0,266296335,0.6235736717138207,0.709082931110136
14,0,1,3,0,0,0,3,3,0,1,0,4,0,1,0,113446072,0.5763637983036434,0.6808254979122234
14,0,2,6,0,2,0,8,6,0,2,0,8,0,0,0,250975537,0.9815755156340235,0.9907827761727885
14,0,2,2,0,0,0,2,3,0,0,0,3,0,1,0,230952154,0.9768296936779547,0.9883945114928139
14,1,0,14,0,0,14,0,21,0,0,21,0,0,2,0,378099884,0.8747106855682476,0.9477712570983611
14,1,0,12,0,0,12,0,12,0,0,12,0,0,0,0,258752089,0.8762994860998409,0.9482303850047288
14,1,1,2,0,0,2,0,2,0,1,3,0,0,1,0,115836860,0.5913556622168848,0.6915780915961578
14,1,1,2,0,0,2,0,2,0,0,2,0,0,0,0,116752451,0.6369673585647156,0.7225087924970692
14,1,2,4,0,0,4,0,4,0,0,4,0,0,0,0,187115293,0.9843159703265661,0.9920388985463432
14,1,2,3,0,0,3,0,5,0,0,5,0,0,2,0,183993804,0.9892185557502245,0.9945834116983261
14,2,0,8,0,0,6,2,13,0,0,9,4,0,5,0,356201777,0.8336303067316085,0.9269044239126748
14,2,0,9,0,0,9,0,9,0,0,9,0,0,0,0,155350101,0.8929715271958168,0.956133401241205
14,2,1,1,0,1,2,0,2,0,1,3,0,1,0,0,98886425,0.7439517941892725,0.8048516956536894
14,2,1,2,0,0,2,0,2,0,0,2,0,0,0,0,66160036,0.6672009496721701,0.7408248417586786
14,2,2,6,0,0,6,0,8,0,0,8,0,5,2,0,416124510,0.9338490769340435,0.9648139297570302
14,2,2,9,0,0,8,1,17,0,0,16,1,4,4,0,632349201,0.9435442502174287,0.9701263932864829
15,0,0,2,0,2,4,0,3,0,2,5,0,0,1,0,302602673,0.8692158800226278,0.9526241336666695
15,0,0,3,0,4,7,0,7,0,5,12,0,1,2,0,695082590,0.863624662695991,0.9499443023816933
15,0,1,1,0,1,2,0,2,0,1,3,0,0,1,0,145409011,0.6940033284379029,0.7520210565895845
15,0,1,1,0,2,3,0,2,0,5,4,3,0,4,0,251030192,0.684220325608035,0.7439734219269103
15,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,132278437,0.9762123665969672,0.9878635102948515
15,0,2,2,0,0,2,0,3,0,0,3,0,0,1,0,232666871,0.9935418558910509,0.996771901835903
15,1,0,1,0,6,7,0,1,0,6,7,0,0,0,0,269460018,0.9395090276624161,0.9777428858899914
15,1,0,1,0,4,5,0,1,0,4,5,0,0,0,0,180557839,0.9553732418176958,0.9835330948121646
15,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,35987207,0.7047247043128408,0.7609623487834715
15,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,30118031,0.7088135058247517,0.7643412969283275
15,1,2,1,0,1,2,0,1,1,1,3,0,0,1,0,118207219,0.992745971980177,0.9963506395786306
15,1,2,1,0,1,2,0,1,0,1,2,0,0,0,0,76513986,0.9773929720630405,0.988436565489249
15,2,0,1,0,9,10,0,1,0,9,10,0,0,0,0,301139046,0.9682030500677199,0.9882652186854518
15,2,0,1,0,4,5,0,1,0,4,5,0,0,0,0,150743761,0.965340482668712,0.9872058836751392
15,2,1,2,0,0,2,0,2,0,0,2,0,1,0,0,87827319,0.7015842739265373,0.7603428383055877
15,2,1,1,0,0,1,0,1,0,0,1,0,0,0,0,37064227,0.7198914016146837,0.7736600475690026
15,2,2,1,0,2,3,0,1,0,2,3,0,0,0,0,94751320,0.9853124399559942,0.9926684205932593
15,2,2,1,0,1,2,0,1,0,1,2,0,0,0,0,54433447,0.991412516971859,0.995689169037206
16,0,0,3,0,6,9,0,3,0,7,10,0,0,1,0,287227608,0.9542438365331504,0.9827091053164348
16,0,0,1,2,3,6,0,2,2,3,7,0,0,1,0,279745298,0.9457279056643136,0.9789137970880517
16,0,1,2,0,1,3,0,3,0,1,4,0,0,1,0,113895391,0.8384313453717499,0.8762535098275169
16,0,1,2,0,1,3,0,2,0,1,3,0,0,0,0,70512744,0.8208934374106278,0.8623648869963969
16,0,2,3,0,1,4,0,3,0,1,4,0,0,0,0,144509010,0.9942423936264995,0.9971142229372328
16,0,2,3,0,2,5,0,3,0,2,5,0,0,0,0,123393301,0.9954638756853643,0.9977331343320864
16,1,0,3,1,9,13,0,4,1,9,14,0,0,1,0,555767367,0.9785071901694657,0.9920384693900696
16,1,0,2,0,9,11,0,2,0,9,11,0,0,0,0,377437183,0.9745925210444699,0.9905540673903849
16,1,1,3,0,5,8,0,3,0,6,9,0,0,1,0,290848885,0.8820005281827964,0.9095050312754963
16,1,1,3,1,2,6,0,4,2,2,8,0,0,2,0,232603103,0.8462357255879428,0.8798229577600308
16,1,2,4,0,1,4,1,6,0,1,5,2,0,2,0,403370383,0.9921429723565981,0.9960407346288268
